 "name" , "link" , "event" , "resource" ,
 "dublin core" , "http://dbpedia.org/resource/Dublin_Core" , "Lecture 1" , "Slides" ,
 "musicbrainz" , "http://dbpedia.org/resource/MusicBrainz" , "Lecture 5" , "Slides" ,
 "rdf/xml" , "http://dbpedia.org/resource/XML" , "Lecture 3" , "Slides" ,
 "rdf/xml" , "http://dbpedia.org/resource/XML" , "Lab 2" , "Slides" ,
 "rdf/xml" , "http://dbpedia.org/resource/XML" , "Lecture 2" , "Slides" ,
 "information retrieval" , "http://dbpedia.org/resource/Information_retrieval" , "Lecture 7" , "Slides" ,
 "gold standard" , "http://dbpedia.org/resource/Ground_truth" , "Lecture 7" , "Slides" ,
 "geonames" , "http://dbpedia.org/resource/GeoNames" , "Lecture 2" , "Slides" ,
 "geonames" , "http://dbpedia.org/resource/GeoNames" , "Lecture 4" , "Slides" ,
 "web 2.0" , "http://dbpedia.org/resource/Web_2.0" , "Lecture 3" , "Slides" ,
 "sql" , "http://dbpedia.org/resource/SQL" , "Lecture 5" , "Slides" ,
 "brenda" , "http://dbpedia.org/resource/BRENDA" , "Lecture 9" , "Slides" ,
 "berlin" , "http://dbpedia.org/resource/Berlin" , "Lecture 3" , "Slides" ,
 "berlin" , "http://dbpedia.org/resource/Berlin" , "Lecture 5" , "Slides" ,
 "berlin" , "http://dbpedia.org/resource/Berlin" , "Lecture 2" , "Slides" ,
 "berlin" , "http://dbpedia.org/resource/Berlin" , "Lecture 4" , "Slides" ,
 "berlin" , "http://dbpedia.org/resource/Berlin" , "Lab 4" , "Slides" ,
 "draft" , "http://dbpedia.org/resource/Draft_document" , "Lecture 2" , "Slides" ,
 "macbeth" , "http://dbpedia.org/resource/Macbeth" , "Lecture 6" , "Slides" ,
 "springer" , "http://dbpedia.org/resource/Springer_Publishing" , "Lecture 5" , "Slides" ,
 "springer" , "http://dbpedia.org/resource/Springer_Publishing" , "Lecture 4" , "Slides" ,
 "false negative" , "http://dbpedia.org/resource/Type_I_and_type_II_errors" , "Lecture 7" , "Slides" ,
 "semantic networks" , "http://dbpedia.org/resource/Semantic_network" , "Lecture 2" , "Slides" ,
 "basic english" , "http://dbpedia.org/resource/Basic_English" , "Lab 9" , "Slides" ,
 "unicode" , "http://dbpedia.org/resource/Unicode" , "Lecture 3" , "Slides" ,
 "determiner" , "http://dbpedia.org/resource/Determiner" , "Lecture 9" , "Slides" ,
 "clue" , "http://dbpedia.org/resource/Cluedo" , "Lab 7" , "Slides" ,
 "deterministic finite automaton" , "http://dbpedia.org/resource/Deterministic_finite_automaton" , "Lecture 8" , "Slides" ,
 "parry" , "http://dbpedia.org/resource/Hubert_Parry" , "Lecture 1" , "Slides" ,
 "current version" , "http://dbpedia.org/resource/Linux.conf.au" , "Lecture 2" , "Slides" ,
 "dot product" , "http://dbpedia.org/resource/Dot_product" , "Lecture 6" , "Slides" ,
 "dot product" , "http://dbpedia.org/resource/Dot_product" , "Lecture 6" , "Worksheet" ,
 "skolemization" , "http://dbpedia.org/resource/Skolem_normal_form" , "Lecture 2" , "Slides" ,
 "wgs84" , "http://dbpedia.org/resource/World_Geodetic_System" , "Lecture 4" , "Worksheet" ,
 "wgs84" , "http://dbpedia.org/resource/World_Geodetic_System" , "Lecture 5" , "Slides" ,
 "wgs84" , "http://dbpedia.org/resource/World_Geodetic_System" , "Lecture 4" , "Slides" ,
 "rdf schema" , "http://dbpedia.org/resource/RDF_Schema" , "Lecture 3" , "Slides" ,
 "rdf schema" , "http://dbpedia.org/resource/RDF_Schema" , "Lecture 4" , "Worksheet" ,
 "rdf schema" , "http://dbpedia.org/resource/RDF_Schema" , "Lab 2" , "Slides" ,
 "rdf schema" , "http://dbpedia.org/resource/RDF_Schema" , "Lab 3" , "Slides" ,
 "miroirs" , "http://dbpedia.org/resource/Miroirs" , "Lecture 3" , "Slides" ,
 "miroirs" , "http://dbpedia.org/resource/Miroirs" , "Lecture 2" , "Slides" ,
 "eastern orthodox" , "http://dbpedia.org/resource/Eastern_Orthodox_Church" , "Lecture 9" , "Slides" ,
 "xhtml" , "http://dbpedia.org/resource/XHTML" , "Lecture 4" , "Slides" ,
 "neptune" , "http://dbpedia.org/resource/Neptune" , "Lecture 4" , "Slides" ,
 "apache" , "http://dbpedia.org/resource/Apache_HTTP_Server" , "Lab 2" , "Slides" ,
 "apache" , "http://dbpedia.org/resource/Apache_HTTP_Server" , "Lecture 4" , "Slides" ,
 "apache" , "http://dbpedia.org/resource/Apache_HTTP_Server" , "Lab 4" , "Slides" ,
 "apache" , "http://dbpedia.org/resource/Apache_HTTP_Server" , "Lab 5" , "Slides" ,
 "apache" , "http://dbpedia.org/resource/Apache_HTTP_Server" , "Lecture 9" , "Slides" ,
 "cosine similarity" , "http://dbpedia.org/resource/Cosine_similarity" , "Lecture 6" , "Slides" ,
 "cosine similarity" , "http://dbpedia.org/resource/Cosine_similarity" , "Lab 9" , "Slides" ,
 "cosine similarity" , "http://dbpedia.org/resource/Cosine_similarity" , "Lecture 8" , "Slides" ,
 "cosine similarity" , "http://dbpedia.org/resource/Cosine_similarity" , "Lab 6" , "Slides" ,
 "cosine similarity" , "http://dbpedia.org/resource/Cosine_similarity" , "Lab 7" , "Slides" ,
 "cosine similarity" , "http://dbpedia.org/resource/Cosine_similarity" , "Lecture 6" , "Worksheet" ,
 "web ontology language" , "http://dbpedia.org/resource/Web_Ontology_Language" , "Lab 3" , "Slides" ,
 "semantic web" , "http://dbpedia.org/resource/Semantic_Web" , "Lecture 3" , "Slides" ,
 "semantic web" , "http://dbpedia.org/resource/Semantic_Web" , "Lecture 5" , "Slides" ,
 "semantic web" , "http://dbpedia.org/resource/Semantic_Web" , "Lecture 1" , "Slides" ,
 "semantic web" , "http://dbpedia.org/resource/Semantic_Web" , "Lecture 2" , "Slides" ,
 "semantic web" , "http://dbpedia.org/resource/Semantic_Web" , "Lecture 4" , "Slides" ,
 "daily planet" , "http://dbpedia.org/resource/Daily_Planet" , "Lab 9" , "Slides" ,
 "jupyter" , "http://dbpedia.org/resource/IPython" , "Lab 1" , "Slides" ,
 "macos" , "http://dbpedia.org/resource/MacOS" , "Lab 1" , "Slides" ,
 "rdfa" , "http://dbpedia.org/resource/RDFa" , "Lecture 3" , "Slides" ,
 "rdfa" , "http://dbpedia.org/resource/RDFa" , "Lecture 5" , "Slides" ,
 "rdfa" , "http://dbpedia.org/resource/RDFa" , "Lecture 2" , "Slides" ,
 "rdfa" , "http://dbpedia.org/resource/RDFa" , "Lecture 5" , "Worksheet" ,
 "knowledge representation" , "http://dbpedia.org/resource/Knowledge_representation_and_reasoning" , "Lecture 2" , "Slides" ,
 "text retrieval" , "http://dbpedia.org/resource/Document_retrieval" , "Lecture 8" , "Slides" ,
 "enron" , "http://dbpedia.org/resource/Enron" , "Lecture 7" , "Slides" ,
 "gefitinib" , "http://dbpedia.org/resource/Gefitinib" , "Lecture 9" , "Slides" ,
 "bonjour" , "http://dbpedia.org/resource/Bonjour_(software)" , "Lab 1" , "Slides" ,
 "mad scientist" , "http://dbpedia.org/resource/Mad_scientist" , "Lab 9" , "Slides" ,
 "yangtze" , "http://dbpedia.org/resource/Yangtze" , "Lecture 4" , "Worksheet" ,
 "caribbean series" , "http://dbpedia.org/resource/Caribbean_Series" , "Lecture 9" , "Slides" ,
 "soap" , "http://dbpedia.org/resource/SOAP" , "Lecture 4" , "Slides" ,
 "finite-state machine" , "http://dbpedia.org/resource/Finite-state_machine" , "Lecture 9" , "Slides" ,
 "mal" , "http://dbpedia.org/resource/Malcolm_Reynolds" , "Lab 1" , "Slides" ,
 "google" , "http://dbpedia.org/resource/Google" , "Lab 1" , "Slides" ,
 "google" , "http://dbpedia.org/resource/Google" , "Lab 9" , "Slides" ,
 "google" , "http://dbpedia.org/resource/Google" , "Lecture 5" , "Slides" ,
 "google" , "http://dbpedia.org/resource/Google" , "Lecture 2" , "Slides" ,
 "google" , "http://dbpedia.org/resource/Google" , "Lecture 5" , "Worksheet" ,
 "google" , "http://dbpedia.org/resource/Google" , "Lecture 8" , "Slides" ,
 "google" , "http://dbpedia.org/resource/Google" , "Lab 7" , "Slides" ,
 "web application" , "http://dbpedia.org/resource/Application_software" , "Lab 1" , "Slides" ,
 "html" , "http://dbpedia.org/resource/HTML" , "Lecture 5" , "Slides" ,
 "html" , "http://dbpedia.org/resource/HTML" , "Lecture 2" , "Slides" ,
 "html" , "http://dbpedia.org/resource/HTML" , "Lecture 4" , "Slides" ,
 "html" , "http://dbpedia.org/resource/HTML" , "Lecture 9" , "Slides" ,
 "alexa" , "http://dbpedia.org/resource/Amazon_Alexa" , "Lab 4" , "Slides" ,
 "alexa" , "http://dbpedia.org/resource/Amazon_Alexa" , "Lecture 8" , "Slides" ,
 "w3c" , "http://dbpedia.org/resource/World_Wide_Web_Consortium" , "Lecture 3" , "Slides" ,
 "w3c" , "http://dbpedia.org/resource/World_Wide_Web_Consortium" , "Lecture 5" , "Slides" ,
 "w3c" , "http://dbpedia.org/resource/World_Wide_Web_Consortium" , "Lecture 1" , "Slides" ,
 "w3c" , "http://dbpedia.org/resource/World_Wide_Web_Consortium" , "Lecture 2" , "Slides" ,
 "w3c" , "http://dbpedia.org/resource/World_Wide_Web_Consortium" , "Lecture 4" , "Slides" ,
 "w3c" , "http://dbpedia.org/resource/World_Wide_Web_Consortium" , "Lecture 5" , "Worksheet" ,
 "public knowledge" , "http://dbpedia.org/resource/Public_Knowledge" , "Lecture 5" , "Slides" ,
 "public knowledge" , "http://dbpedia.org/resource/Public_Knowledge" , "Lecture 2" , "Worksheet" ,
 "public knowledge" , "http://dbpedia.org/resource/Public_Knowledge" , "Lab 4" , "Slides" ,
 "malcolm reynolds" , "http://dbpedia.org/resource/Malcolm_Reynolds" , "Lab 1" , "Slides" ,
 "metropolis" , "http://dbpedia.org/resource/Metropolis" , "Lab 9" , "Slides" ,
 "support vector machines" , "http://dbpedia.org/resource/Support_vector_machine" , "Lecture 9" , "Slides" ,
 "mcgill" , "http://dbpedia.org/resource/McGill_University" , "Lab 9" , "Slides" ,
 "mcgill" , "http://dbpedia.org/resource/McGill_University" , "Lecture 2" , "Worksheet" ,
 "mcgill" , "http://dbpedia.org/resource/McGill_University" , "Lecture 8" , "Worksheet" ,
 "technetium" , "http://dbpedia.org/resource/Technetium" , "Lecture 8" , "Slides" ,
 "markov" , "http://dbpedia.org/resource/Hidden_Markov_model" , "Lecture 9" , "Slides" ,
 "shrdlu" , "http://dbpedia.org/resource/SHRDLU" , "Lecture 2" , "Slides" ,
 "sebastian" , "http://dbpedia.org/resource/Saint_Sebastian" , "Lecture 5" , "Slides" ,
 "open source" , "http://dbpedia.org/resource/Open-source_model" , "Lab 9" , "Slides" ,
 "open source" , "http://dbpedia.org/resource/Open-source_model" , "Lecture 9" , "Worksheet" ,
 "open source" , "http://dbpedia.org/resource/Open-source_model" , "Lecture 1" , "Slides" ,
 "open source" , "http://dbpedia.org/resource/Open-source_model" , "Lab 2" , "Slides" ,
 "open source" , "http://dbpedia.org/resource/Open-source_model" , "Lecture 4" , "Slides" ,
 "open source" , "http://dbpedia.org/resource/Open-source_model" , "Lab 4" , "Slides" ,
 "open source" , "http://dbpedia.org/resource/Open-source_model" , "Lecture 9" , "Slides" ,
 "jeopardy!" , "http://dbpedia.org/resource/Jeopardy!" , "Lecture 1" , "Slides" ,
 "jeopardy!" , "http://dbpedia.org/resource/Jeopardy!" , "Lecture 8" , "Slides" ,
 "json-ld" , "http://dbpedia.org/resource/JSON-LD" , "Lab 2" , "Slides" ,
 "json-ld" , "http://dbpedia.org/resource/JSON-LD" , "Lecture 2" , "Slides" ,
